country,points,price,province,region_1,region_2,title,variety,winery,year
US,87,65,Oregon,Willamette Valley,Willamette Valley,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks,2012
US,87,19,California,Napa Valley,Napa,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Kirkland Signature,2011
US,87,34,California,Alexander Valley,Sonoma,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Louis M. Martini,2012
US,87,23,Virginia,Virginia,,Quiévremont 2012 Vin de Maison Red (Virginia),Red Blend,Quiévremont,2012
US,87,20,Oregon,Oregon,Oregon Other,Acrobat 2013 Pinot Noir (Oregon),Pinot Noir,Acrobat,2013
US,87,69,California,Sonoma Coast,Sonoma,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Castello di Amorosa,2011
US,86,50,California,Dry Creek Valley,Sonoma,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,Envolve,2010
US,86,50,Oregon,McMinnville,Willamette Valley,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,Erath,2010
US,86,22,Oregon,Willamette Valley,Willamette Valley,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars,2009
US,86,40,Virginia,Virginia,,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,Tarara,2010
US,86,100,California,Napa Valley,Napa,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Okapi,2013
US,86,46,Washington,Columbia Valley (WA),Columbia Valley,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars,2013
US,86,12,California,California,California Other,Cocobon 2014 Red (California),Red Blend,Cocobon,2014
US,86,40,California,Alexander Valley,Sonoma,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Eco Terreno,2013
US,86,75,California,Howell Mountain,Napa,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Hindsight,2013
US,86,75,California,Napa Valley,Napa,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Bordeaux-style Red Blend,Mulvane Wine Co.,2013
US,86,25,Oregon,Eola-Amity Hills,Willamette Valley,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO,2015
US,88,23,California,Sonoma County,Sonoma,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano,2014
US,88,75,California,Napa Valley,Napa,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,Soquel Vineyards,2013
US,87,85,California,Yountville,Napa,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Piña,2013
US,87,18,California,Paso Robles,Central Coast,Pull 2012 BDX Red (Paso Robles),Bordeaux-style Red Blend,Pull,2012
US,87,44,California,Central Coast,,Rideau 2014 Estate Syrah,Syrah,Rideau,2014
US,92,45,California,Napa Valley,Napa,Silverado 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Silverado,2006
US,91,78,California,Napa Valley,Napa,Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clark-Clauden,2007
US,91,85,California,Spring Mountain District,Napa,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine,2013
US,91,64,California,Santa Lucia Highlands,Central Coast,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2013
US,91,68,California,Santa Ynez Valley,Central Coast,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards,2010
US,91,68,California,Santa Ynez Valley,Central Coast,Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards,2012
US,91,25,California,Napa Valley,Napa,Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Yardstick,2013
US,91,55,California,Carmel Valley,Central Coast,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge,2012
US,91,46,California,Paso Robles,Central Coast,Alta Colina 2012 Old 900 Syrah (Paso Robles),Syrah,Alta Colina,2012
US,91,36,California,Santa Cruz Mountains,Central Coast,Big Basin 2013 Syrah (Santa Cruz Mountains),Syrah,Big Basin,2013
US,91,35,California,Paso Robles,Central Coast,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,Chronic Cellars,2013
US,91,44,California,Russian River Valley,Sonoma,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield,2014
US,91,38,Oregon,Willamette Valley,Willamette Valley,Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau,2014
US,88,25,California,Sonoma Valley,Sonoma,Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley),Syrah,Kenwood,2005
US,88,36,California,Arroyo Seco,Central Coast,McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco),Pinot Noir,McIntyre Vineyards,2006
US,88,40,California,Anderson Valley,,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Harrington,2006
US,90,60,California,Napa Valley,Napa,Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequum,2013
US,90,25,California,Napa Valley,Napa,Courtney Benham 2014 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Courtney Benham,2014
US,90,48,California,Paso Robles,Central Coast,MCV 2014 1105 Red (Paso Robles),Red Blend,MCV,2014
US,85,15,New York,Finger Lakes,Finger Lakes,Wagner 2006 Grace House Pinot Noir (Finger Lakes),Pinot Noir,Wagner,2006
US,85,18,California,Napa Valley,Napa,Benessere 2005 Costa Del Sol Red (Napa Valley),Red Blend,Benessere,2005
US,85,28,Oregon,Willamette Valley,Willamette Valley,Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge,2006
US,85,49,California,Santa Barbara County,Central Coast,Testarossa 2006 Thompson Vineyard Syrah (Santa Barbara County),Syrah,Testarossa,2006
US,85,85,California,Diamond Mountain District,Napa,Meeker 2004 Kiss Ridge Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Meeker,2004
US,85,36,California,Mendocino,,Dogwood 2005 Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,Dogwood,2005
US,85,45,Oregon,Willamette Valley,Willamette Valley,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Amity,2006
US,85,18,Virginia,Monticello,,Autumn Hill 2007 Petit Verdot-Merlot Red (Monticello),Bordeaux-style Red Blend,Autumn Hill,2007
US,85,49,California,Alexander Valley,Sonoma,Blue Rock 2005 Estate Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Blue Rock,2005
US,85,22,Oregon,Willamette Valley,Willamette Valley,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,Cherry Hill,2006
US,89,55,California,Cole Ranch,,Esterlina 2009 Reserva Pinot Noir (Cole Ranch),Pinot Noir,Esterlina,2009
US,89,40,Oregon,Willamette Valley,Willamette Valley,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards,2009
US,89,39,California,Napa Valley,Napa,Beaver Creek 2008 Fairytale Red (Napa Valley),Red Blend,Beaver Creek,2008
US,89,60,California,Santa Maria Valley,Central Coast,Byron 2009 Monument Pinot Noir (Santa Maria Valley),Pinot Noir,Byron,2009
US,89,30,California,Napa Valley,Napa,Trailhead 2010 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Trailhead,2010
US,89,50,Oregon,Willamette Valley,,Erath 2009 Bishop Creek Pinot Noir,Pinot Noir,Erath,2009
US,92,34,California,Santa Maria Valley,Central Coast,Cambria 2011 Bench Break Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Cambria,2011
US,92,52,Oregon,Dundee Hills,Willamette Valley,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),Pinot Noir,J. Christopher,2011
US,92,60,California,Arroyo Grande Valley,Central Coast,Talley 2011 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley,2011
US,92,125,California,Napa Valley,Napa,Parallel 2010 Fortune Teller Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Parallel,2010
US,87,15,California,Napa Valley,Napa,Aquinas 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Aquinas,2008
US,87,40,California,Napa Valley,Napa,Mount Veeder 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Mount Veeder,2008
US,87,28,California,Napa Valley,Napa,Robert Mondavi 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Robert Mondavi,2008
US,86,40,California,Central Coast,Central Coast,Clos La Chance 2006 Lila's Cuvée Red (Central Coast),Red Blend,Clos La Chance,2006
US,95,200,California,Diamond Mountain District,Napa,J. Davies 2012 Jamie Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,J. Davies,2012
US,95,48,Oregon,Dundee Hills,Willamette Valley,Winderlea 2014 Weber Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Winderlea,2014
US,88,160,California,Sonoma Valley,Sonoma,Sebastiani 1991 Cherryblock Vineyard Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Sebastiani,1991
US,88,25,California,Edna Valley,Central Coast,Kynsi 1999 Paragon Vineyard Pinot Noir (Edna Valley),Pinot Noir,Kynsi,1999
US,85,15,California,California,California Other,Vinavanti 2005 Le Bon Viveur Red (California),Red Blend,Vinavanti,2005
US,85,45,California,Santa Barbara County,Central Coast,Vino V 2005 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Vino V,2005
US,85,12,California,California,California Other,Morro Bay 2006 Split Oak Vineyard Cabernet Sauvignon (California),Cabernet Sauvignon,Morro Bay,2006
US,89,42,Washington,Wahluke Slope,Columbia Valley,Milbrandt 2013 The Estates Clifton Hill Vineyard Syrah (Wahluke Slope),Syrah,Milbrandt,2013
US,89,54,California,Alexander Valley,Sonoma,Trione 2012 Henry's Blend Red (Alexander Valley),Bordeaux-style Red Blend,Trione,2012
US,89,38,Washington,Walla Walla Valley (WA),Columbia Valley,Walla Walla Vintners 2013 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Walla Walla Vintners,2013
US,88,20,California,Paso Robles,Central Coast,Flying Cloud 2014 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Flying Cloud,2014
US,92,45,California,Santa Maria Valley,Central Coast,Rusack 2011 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Rusack,2011
US,92,50,Oregon,Ribbon Ridge,Willamette Valley,Chehalem 2011 Ridgecrest Vineyards Pinot Noir (Ribbon Ridge),Pinot Noir,Chehalem,2011
US,92,65,Oregon,Willamette Valley,Willamette Valley,Domaine Serene 2010 Evenstad Reserve Pinot Noir (Willamette Valley),Pinot Noir,Domaine Serene,2010
US,92,130,California,Rutherford,Napa,Bell 2009 Clone 6 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Bell,2009
US,92,88,California,Napa Valley,Napa,Castello di Amorosa 2009 La Castellana Red (Napa Valley),Red Blend,Castello di Amorosa,2009
US,87,45,Washington,Red Mountain,Columbia Valley,Sparkman 2009 Stella Mae Red (Red Mountain),Bordeaux-style Red Blend,Sparkman,2009
US,87,60,California,Sta. Rita Hills,Central Coast,Babcock 2010 Ocean's Ghost Pinot Noir (Sta. Rita Hills),Pinot Noir,Babcock,2010
US,87,13,California,Sonoma County,Sonoma,Lyeth 2010 L de Lyeth Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Lyeth,2010
US,87,35,Washington,Red Mountain,Columbia Valley,Insania 2009 Red (Red Mountain),Red Blend,Insania,2009
US,87,17,California,Carneros,Napa-Sonoma,Michael Pozzan 2010 Annabella Pinot Noir (Carneros),Pinot Noir,Michael Pozzan,2010
US,87,28,Washington,Wahluke Slope,Columbia Valley,Camaraderie 2009 Clifton Vineyard Syrah (Wahluke Slope),Syrah,Camaraderie,2009
US,91,65,California,Napa Valley,Napa,Beringer 2014 Quantum Red (Napa Valley),Red Blend,Beringer,2014
US,91,90,California,Chiles Valley,Napa,Conn Creek 2013 El Adobo Ranch Vineyard Cabernet Sauvignon (Chiles Valley),Cabernet Sauvignon,Conn Creek,2013
US,91,75,California,Sonoma Coast,Sonoma,D.R. Stephens 2014 Silver Eagle Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,D.R. Stephens,2014
US,91,55,California,Russian River Valley,Sonoma,Davis Family 2014 Soul Patch Estate Grown Pinot Noir (Russian River Valley),Pinot Noir,Davis Family,2014
US,91,55,California,Russian River Valley,Sonoma,Davis Family 2014 Starr Ridge Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Davis Family,2014
US,91,55,Oregon,Willamette Valley,Willamette Valley,Rex Hill 2014 Sims Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Rex Hill,2014
US,91,65,Oregon,Chehalem Mountains,Willamette Valley,Ruby 2015 Steve's Reserve Pinot Noir (Chehalem Mountains),Pinot Noir,Ruby,2015
US,91,35,Washington,Horse Heaven Hills,Columbia Valley,Structure 2014 Wallula Syrah (Horse Heaven Hills),Syrah,Structure,2014
US,91,55,Oregon,Dundee Hills,Willamette Valley,Tumwater 2014 Prince Hill Vineyard Reserve Pinot Noir (Dundee Hills),Pinot Noir,Tumwater,2014
US,91,45,California,Russian River Valley,Sonoma,Joseph Jewell 2014 Bucher Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Joseph Jewell,2014
US,91,50,Oregon,Willamette Valley,Willamette Valley,Le Cadeau 2015 Diversité Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau,2015
US,91,50,Oregon,Willamette Valley,Willamette Valley,Le Cadeau 2015 Équinoxe Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau,2015
US,91,38,California,Paso Robles,Central Coast,Le Vigne 2014 Di Domenico Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Le Vigne,2014
US,91,50,Washington,Walla Walla Valley (WA),Columbia Valley,Northstar 2013 Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Northstar,2013
US,91,110,California,Napa Valley,Napa,Padis 2012 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Padis,2012
US,91,45,Oregon,Umpqua Valley,Southern Oregon,Paul O'Brien 2014 Bradley Vineyard Pinot Noir (Umpqua Valley),Pinot Noir,Paul O'Brien,2014
US,93,42,California,Edna Valley,Central Coast,Claiborne & Churchill 2014 Twin Creeks Estate Pinot Noir (Edna Valley),Pinot Noir,Claiborne & Churchill,2014
US,93,60,California,Santa Maria Valley,Central Coast,Flying Goat Cellars 2012 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Flying Goat Cellars,2012
US,93,42,California,Santa Maria Valley,Central Coast,Flying Goat Cellars 2012 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Flying Goat Cellars,2012
US,93,75,California,Napa Valley,Napa,Midsummer Cellars 2013 Cañon Creek Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Midsummer Cellars,2013
US,93,54,California,Templeton Gap District,Central Coast,ONX 2013 Reckoning Red (Templeton Gap District),Red Blend,ONX,2013
US,93,85,California,Napa Valley,Napa,Les Belles Collines 2012 Les Sommets Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Les Belles Collines,2012
US,93,85,California,Green Valley,Sonoma,Iron Horse 2013 Thomas Road Pinot Noir (Green Valley),Pinot Noir,Iron Horse,2013
US,93,75,Washington,Horse Heaven Hills,Columbia Valley,Passing Time 2013 Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Passing Time,2013
US,93,40,California,Santa Maria Valley,Central Coast,Sanctuary 2013 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Sanctuary,2013
US,93,45,California,Russian River Valley,Sonoma,Limerick Lane 2013 Headpruned Block Syrah (Russian River Valley),Syrah,Limerick Lane,2013
US,93,50,California,Sonoma Coast,Sonoma,Loring Wine Company 2014 Durell Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Loring Wine Company,2014
US,93,48,California,Sta. Rita Hills,Central Coast,Flying Goat Cellars 2012 Rancho Santa Rosa Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Flying Goat Cellars,2012
US,93,62,California,Paso Robles,Central Coast,Four Lanterns 2013 Fire Light Syrah (Paso Robles),Syrah,Four Lanterns,2013
US,93,100,California,Central Coast,Central Coast,Turiya 2011 Shapeshifter Red (Central Coast),Red Blend,Turiya,2011
US,93,53,California,Napa Valley,Napa,World's End 2013 If Six Was Nine Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,World's End,2013
US,93,70,California,Howell Mountain,Napa,W.H. Smith 2012 Reserve Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,W.H. Smith,2012
US,89,50,Washington,Yakima Valley,Columbia Valley,Ardor 2015 Art Den Hoed Vineyard Syrah (Yakima Valley),Syrah,Ardor,2015
US,89,32,California,Santa Cruz Mountains,Central Coast,Silvertip 2014 Unfiltered Estate Pinot Noir (Santa Cruz Mountains),Pinot Noir,Silvertip,2014
US,89,30,Washington,Columbia Valley (WA),Columbia Valley,L'Ecole No. 41 2014 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,L'Ecole No. 41,41
US,87,20,California,Alexander Valley,Sonoma,Michael Pozzan 2010 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Michael Pozzan,2010
US,87,69,California,Oak Knoll District,Napa,Paoletti 2010 Cabernet Sauvignon (Oak Knoll District),Cabernet Sauvignon,Paoletti,2010
US,87,54,California,Carneros,Napa-Sonoma,Saintsbury 2010 Toyon Farm Pinot Noir (Carneros),Pinot Noir,Saintsbury,2010
US,87,28,California,Edna Valley,Central Coast,Claiborne & Churchill 2010 Pinot Noir (Edna Valley),Pinot Noir,Claiborne & Churchill,2010
US,87,25,Idaho,,,Coiled 2009 Sidewinder Red,Red Blend,Coiled,2009
US,87,28,Idaho,,,Coiled 2010 Black Mamba Red,Red Blend,Coiled,2010
US,87,20,Idaho,Idaho,,Colter's Creek 2010 Koos-Koos-Kia Colter's Creek Vineyard Red (Idaho),Red Blend,Colter's Creek,2010
US,92,75,California,Russian River Valley,Sonoma,Walt 2013 Pinpoint Extreme Pinot Noir (Russian River Valley),Pinot Noir,Walt,2013
US,92,48,Oregon,Willamette Valley,,WillaKenzie Estate 2013 Aliette Pinot Noir,Pinot Noir,WillaKenzie Estate,2013
US,92,40,California,Paso Robles,Central Coast,Niner 2013 Estate Grown Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Niner,2013
US,92,50,Oregon,Willamette Valley,Willamette Valley,Purple Hands 2014 Freedom Hill Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Purple Hands,2014
US,92,75,California,Napa Valley,Napa,Stone The Crows 2013 Three Twins Vineyard Fallen Feather Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stone The Crows,2013
US,92,70,Oregon,Dundee Hills,Willamette Valley,Stoller 2013 Nancy's Pinot Noir (Dundee Hills),Pinot Noir,Stoller,2013
US,90,45,Washington,Walla Walla Valley (WA),Columbia Valley,Va Piano 2012 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Va Piano,2012
US,90,80,California,Mount Veeder,Napa,Y Rousseau 2012 Le Roi Soleil Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,Y Rousseau,2012
US,90,65,California,Rockpile,Sonoma,Paradise Ridge 2012 Rockpile Vineyard Cabernet Sauvignon (Rockpile),Cabernet Sauvignon,Paradise Ridge,2012
US,90,13,Washington,Columbia Valley (WA),Columbia Valley,Snoqualmie 2013 Eco Made with Organic Grapes Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Snoqualmie,2013
US,90,44,California,Anderson Valley,,The Withers Winery 2013 Charles Vineyard Pinot Noir (Anderson Valley),Pinot Noir,The Withers Winery,2013
US,90,38,California,Carneros,Napa-Sonoma,Truchard 2012 Estate Cabernet Sauvignon (Carneros),Cabernet Sauvignon,Truchard,2012
US,90,28,California,Carneros,Napa-Sonoma,Acacia 2013 Pinot Noir (Carneros),Pinot Noir,Acacia,2013
US,90,35,Washington,Columbia Valley (WA),Columbia Valley,Barrister 2012 Sagemoor Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Barrister,2012
US,90,42,Washington,Columbia Valley (WA),Columbia Valley,Bunnell 2011 ALX Syrah (Columbia Valley (WA)),Syrah,Bunnell,2011
US,90,30,Washington,Horse Heaven Hills,Columbia Valley,Chateau Ste. Michelle 2012 Canoe Ridge Vineyard Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Chateau Ste. Michelle,2012
US,90,75,California,Sonoma Coast,Sonoma,Cobb 2012 Emmaline Ann Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Cobb,2012
US,91,90,Washington,Red Mountain,Columbia Valley,Mosquito Fleet 2011 Reserve 34 Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Mosquito Fleet,2011
US,91,35,California,Santa Barbara County,Central Coast,Nadia 2012 Quattro Santa Barbara Highlands Vineyard Red (Santa Barbara County),Red Blend,Nadia,2012
US,91,20,Washington,Columbia Valley (WA),Columbia Valley,Woodinville Wine Cellars 2012 Little Bear Creek Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Woodinville Wine Cellars,2012
US,91,48,California,Russian River Valley,Sonoma,Failla 2013 Keefer Ranch Pinot Noir (Russian River Valley),Pinot Noir,Failla,2013
US,91,32,California,Russian River Valley,Sonoma,Friedeman 2013 Dichotomy Pinot Noir (Russian River Valley),Pinot Noir,Friedeman,2013
US,85,13,Oregon,Oregon,Oregon Other,Rascal 2014 Pinot Noir (Oregon),Pinot Noir,Rascal,2014
US,85,16,California,California,California Other,Jack's House 2013 Cabernet Sauvignon (California),Cabernet Sauvignon,Jack's House,2013
US,87,24,California,Sonoma Coast,Sonoma,William Knuttel 2007 Pinot Noir (Sonoma Coast),Pinot Noir,William Knuttel,2007
US,87,45,California,Sonoma Coast,Sonoma,De Loach 2008 Thornton Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,De Loach,2008
US,87,36,California,Santa Maria Valley,Central Coast,Lane Tanner 2009 Julia's Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Lane Tanner,2009
US,87,34,California,Sonoma Coast,Sonoma,MacRostie 2008 Pinot Noir (Sonoma Coast),Pinot Noir,MacRostie,2008
US,87,70,California,Temecula Valley,South Coast,"Monte De Oro 2006 Reserve, Vista del Monte Vineyard Syrah (Temecula Valley)",Syrah,Monte De Oro,2006
US,87,28,California,Dry Creek Valley,Sonoma,Mounts 2008 Estate Grown Syrah (Dry Creek Valley),Syrah,Mounts,2008
US,87,45,California,North Coast,North Coast,Pax 2007 Cuvée Christine Syrah (North Coast),Syrah,Pax,2007
US,87,32,California,Napa Valley,Napa,Robert Foley 2008 The Griffin Red (Napa Valley),Red Blend,Robert Foley,2008
US,92,70,Oregon,Willamette Valley,Willamette Valley,Patton Valley 2010 Lorna Marie Pinot Noir (Willamette Valley),Pinot Noir,Patton Valley,2010
US,92,48,Oregon,Willamette Valley,Willamette Valley,Patton Valley 2010 West Block Pinot Noir (Willamette Valley),Pinot Noir,Patton Valley,2010
US,92,105,Oregon,Dundee Hills,Willamette Valley,Adelsheim 2010 Winderlea Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Adelsheim,2010
